date,temperature,humidity,precipprob,snow,wind_speed,visibility,conditions,description
2023-01-01,32.1,82.0,0,0.3,6.9,9.2,Partially cloudy,Partly cloudy throughout the day.
2023-01-02,28.4,97.6,100,4.4,6.9,4.1,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.
2023-01-03,22.1,91.3,100,0.0,5.7,9.3,"Snow, Partially cloudy",Partly cloudy throughout the day with afternoon snow.
2023-01-04,22.2,71.2,100,0.0,8.6,7.9,Snow,Clear conditions throughout the day with afternoon snow.
2023-01-05,23.0,63.4,0,0.0,6.9,9.9,Clear,Clear conditions throughout the day.
2023-01-06,31.5,58.9,0,0.2,5.7,9.9,Partially cloudy,Partly cloudy throughout the day.
2023-01-07,31.5,69.8,0,0.0,7.5,9.9,Clear,Clear conditions throughout the day.
2023-01-08,34.6,55.2,0,0.0,18.4,9.9,Clear,Clear conditions throughout the day.
2023-01-09,42.1,43.4,0,0.0,18.8,9.9,Clear,Clear conditions throughout the day.
2023-01-10,43.0,48.3,0,0.0,36.0,9.9,Clear,Clear conditions throughout the day.
2023-01-11,34.0,88.0,0,0.8,9.2,6.7,Overcast,Cloudy skies throughout the day.
2023-01-12,31.6,85.9,0,0.0,5.7,6.7,Clear,Clear conditions throughout the day.
2023-01-13,35.9,61.2,0,0.0,4.6,9.9,Clear,Clear conditions throughout the day.
2023-01-14,47.2,41.9,0,0.0,17.4,9.9,Clear,Clear conditions throughout the day.
2023-01-15,39.0,60.3,0,0.2,13.4,9.9,Partially cloudy,Partly cloudy throughout the day.
2023-01-16,34.4,75.7,0,0.0,6.5,9.9,Partially cloudy,Becoming cloudy in the afternoon.
2023-01-17,30.6,80.3,100,6.6,6.9,7.9,"Snow, Partially cloudy",Becoming cloudy in the afternoon with late afternoon snow.
2023-01-18,27.6,93.2,100,8.8,17.2,4.4,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.
2023-01-19,26.9,53.9,100,0.0,10.4,9.9,"Snow, Rain",Clear conditions throughout the day with morning rain or snow.
2023-01-20,25.5,61.0,0,0.4,3.4,9.9,Partially cloudy,Partly cloudy throughout the day.
2023-01-21,26.0,66.8,100,0.1,9.0,8.9,"Snow, Partially cloudy",Partly cloudy throughout the day with afternoon snow.
2023-01-22,30.8,53.5,0,0.0,6.9,9.9,Partially cloudy,Partly cloudy throughout the day.
2023-01-23,29.2,78.0,100,1.6,8.0,8.7,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow in the morning and afternoon.
2023-01-24,27.3,71.9,0,0.4,5.7,8.6,Partially cloudy,Partly cloudy throughout the day.
2023-01-25,27.7,50.9,0,0.4,8.1,9.9,Partially cloudy,Partly cloudy throughout the day.
2023-01-26,32.3,30.3,0,0.0,18.9,9.9,Partially cloudy,Becoming cloudy in the afternoon.
2023-01-27,36.7,40.8,0,0.0,15.6,9.9,Clear,Clear conditions throughout the day.
2023-01-28,25.9,71.5,100,1.1,10.3,8.6,"Snow, Partially cloudy",Partly cloudy throughout the day with afternoon snow.
2023-01-29,4.7,84.6,0,2.3,5.9,5.9,Overcast,Cloudy skies throughout the day.
2023-01-30,2.3,71.5,100,2.5,4.7,7.7,"Snow, Partially cloudy",Partly cloudy throughout the day with afternoon snow.
2023-01-31,10.3,66.4,0,0.1,9.9,9.6,Clear,Clear conditions throughout the day.
2023-02-01,25.6,56.7,0,0.0,7.5,9.9,Clear,Clear conditions throughout the day.
2023-02-02,31.2,55.5,0,0.0,7.5,9.9,Clear,Clear conditions throughout the day.
2023-02-03,46.5,23.8,0,0.0,13.2,9.9,Clear,Clear conditions throughout the day.
2023-02-04,48.1,20.9,0,0.0,21.0,9.9,Clear,Clear conditions throughout the day.
2023-02-05,36.7,53.1,0,0.0,6.8,9.9,Clear,Clear conditions throughout the day.
2023-02-06,39.2,38.8,0,0.0,19.7,9.9,Partially cloudy,Becoming cloudy in the afternoon.
2023-02-07,36.3,37.2,0,0.0,12.4,9.9,Clear,Clear conditions throughout the day.
2023-02-08,36.2,44.9,0,0.2,21.7,9.9,Clear,Clear conditions throughout the day.
2023-02-09,30.1,42.1,0,0.5,22.8,9.9,Partially cloudy,Partly cloudy throughout the day.
2023-02-10,29.4,48.2,0,0.0,6.8,9.9,Clear,Clear conditions throughout the day.
2023-02-11,38.5,45.1,0,0.0,6.7,9.9,Clear,Clear conditions throughout the day.
2023-02-12,38.2,46.1,0,0.0,6.9,9.7,Clear,Clear conditions throughout the day.
2023-02-13,40.3,43.2,0,0.0,10.1,9.9,Clear,Clear conditions throughout the day.
2023-02-14,39.1,40.5,0,1.3,22.9,9.9,Partially cloudy,Becoming cloudy in the afternoon.
2023-02-15,16.1,85.5,100,13.4,12.5,1.9,"Snow, Overcast",Cloudy skies throughout the day with a chance of snow throughout the day.
2023-02-16,19.3,62.1,100,0.2,7.5,9.3,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.
2023-02-17,32.2,45.6,0,0.0,15.5,9.9,Clear,Clear conditions throughout the day.
2023-02-18,45.4,17.6,0,0.0,21.8,9.9,Clear,Clear conditions throughout the day.
2023-02-19,43.1,28.8,0,0.0,22.0,9.9,Partially cloudy,Partly cloudy throughout the day.
2023-02-20,48.3,28.6,0,0.0,21.2,9.9,Clear,Clear conditions throughout the day.
2023-02-21,46.0,42.5,100,0.0,18.4,9.9,"Snow, Rain",Clear conditions throughout the day with late afternoon rain or snow.
2023-02-22,10.3,80.9,100,13.1,18.1,4.1,"Snow, Overcast",Cloudy skies throughout the day with early morning snow.
2023-02-23,0.4,70.7,100,1.2,4.6,9.3,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.
2023-02-24,17.8,62.0,0,0.1,17.2,9.7,Clear,Clear conditions throughout the day.
2023-02-25,38.2,51.7,0,0.0,20.3,9.9,Clear,Clear conditions throughout the day.
2023-02-26,41.7,48.6,0,0.0,18.0,9.9,Clear,Clear conditions throughout the day.
2023-02-27,42.4,28.5,0,0.0,31.5,9.9,Clear,Clear conditions throughout the day.
2023-02-28,37.4,32.9,0,0.0,22.6,9.9,Clear,Clear conditions throughout the day.
2023-03-01,29.6,59.0,0,2.0,14.5,9.5,Partially cloudy,Partly cloudy throughout the day.
2023-03-02,33.4,66.0,100,0.1,10.1,9.9,"Snow, Rain",Clear conditions throughout the day with morning rain or snow.
2023-03-03,35.5,63.3,100,0.0,12.4,9.9,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain or snow.
2023-03-04,31.3,78.5,0,0.0,8.2,7.3,Partially cloudy,Clearing in the afternoon.
2023-03-05,37.2,53.2,0,0.0,14.9,9.8,Partially cloudy,Becoming cloudy in the afternoon.
2023-03-06,34.7,51.2,0,0.0,11.2,9.9,Partially cloudy,Partly cloudy throughout the day.
2023-03-07,30.4,80.8,0,0.2,9.2,8.5,Overcast,Cloudy skies throughout the day.
2023-03-08,32.4,79.0,0,0.0,7.1,9.2,Overcast,Cloudy skies throughout the day.
2023-03-09,39.6,52.5,0,0.2,24.5,8.1,Partially cloudy,Partly cloudy throughout the day.
2023-03-10,42.0,65.1,0,0.0,18.8,9.0,Partially cloudy,Clearing in the afternoon.
2023-03-11,46.7,41.3,0,0.0,20.5,9.9,Partially cloudy,Partly cloudy throughout the day.
2023-03-12,32.7,61.8,0,0.0,6.5,9.9,Partially cloudy,Partly cloudy throughout the day.
2023-03-13,37.1,58.6,0,0.1,6.9,9.9,Clear,Clear conditions throughout the day.
2023-03-14,46.8,37.8,0,0.0,8.2,9.9,Clear,Clear conditions throughout the day.
2023-03-15,53.1,37.1,100,0.0,16.6,9.9,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.
2023-03-16,33.6,64.6,100,5.1,12.9,9.0,"Snow, Rain, Overcast",Cloudy skies throughout the day with morning rain or snow.
2023-03-17,32.9,42.2,0,0.2,7.8,9.9,Partially cloudy,Partly cloudy throughout the day.
2023-03-18,32.6,36.2,0,0.0,7.5,9.9,Clear,Clear conditions throughout the day.
2023-03-19,39.0,26.7,0,0.0,16.1,9.9,Clear,Clear conditions throughout the day.
2023-03-20,44.0,34.0,0,0.0,8.9,9.9,Partially cloudy,Partly cloudy throughout the day.
2023-03-21,44.3,36.9,0,0.0,25.8,9.9,Partially cloudy,Partly cloudy throughout the day.
2023-03-22,34.7,72.7,100,1.4,9.0,8.8,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain or snow.
2023-03-23,37.8,68.5,100,0.2,9.2,8.0,"Snow, Rain, Freezing Drizzle/Freezing Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.
2023-03-24,40.1,50.6,0,0.2,11.1,9.9,Partially cloudy,Becoming cloudy in the afternoon.
2023-03-25,32.9,49.4,0,1.0,24.6,9.3,Partially cloudy,Partly cloudy throughout the day.
2023-03-26,32.3,33.2,0,1.3,10.0,9.8,Partially cloudy,Becoming cloudy in the afternoon.
2023-03-27,29.6,63.7,100,6.0,19.4,7.5,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.
2023-03-28,32.5,41.3,0,0.0,11.2,9.9,Clear,Clear conditions throughout the day.
